date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:30:13	455/455	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:53:14%20GMT	https://demo.htmlcodex.com/robots.txt		(from )
16:30:14	15900/15900	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Apr%202020%2015:56:24%20GMT	https://demo.htmlcodex.com/709/resume-website-template/	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/index.html	(from )
16:30:14	709/709	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:53:14%20GMT	https://demo.htmlcodex.com/709/resume-website-template/img/favicon.ico	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/img/favicon.ico	(from https://demo.htmlcodex.com/709/resume-website-template/)
16:30:15	159515/159515	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:09%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.min.css	C:/My%20Web%20Sites/cv/stackpath.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.min.css	(from https://demo.htmlcodex.com/709/resume-website-template/)
16:30:15	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-dcc5%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	C:/My%20Web%20Sites/cv/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	(from https://demo.htmlcodex.com/709/resume-website-template/)
16:30:16	1330/1330	---MCZ	200	added ('OK')	text/css	date:Wed,%2004%20Oct%202017%2004:49:30%20GMT	https://demo.htmlcodex.com/709/resume-website-template/lib/slick/slick.css	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/lib/slick/slick.css	(from https://demo.htmlcodex.com/709/resume-website-template/)
16:30:17	2354/2354	---MCZ	200	added ('OK')	text/css	date:Sun,%2013%20Oct%202019%2018:47:42%20GMT	https://demo.htmlcodex.com/709/resume-website-template/lib/slick/slick-theme.css	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/lib/slick/slick-theme.css	(from https://demo.htmlcodex.com/709/resume-website-template/)
16:30:17	2608/2608	---M-Z	200	added ('OK')	text/css	date:Sun,%2026%20Nov%202017%2020:18:24%20GMT	https://demo.htmlcodex.com/709/resume-website-template/lib/lightbox/css/lightbox.min.css	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/lib/lightbox/css/lightbox.min.css	(from https://demo.htmlcodex.com/709/resume-website-template/)
16:30:18	13949/13949	---MCZ	200	added ('OK')	text/css	date:Tue,%2007%20Apr%202020%2005:38:30%20GMT	https://demo.htmlcodex.com/709/resume-website-template/css/style.css	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/css/style.css	(from https://demo.htmlcodex.com/709/resume-website-template/)
16:30:18	18524/18524	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Apr%202020%2016:01:16%20GMT	https://demo.htmlcodex.com/709/resume-website-template/img/profile.jpg	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/img/profile.jpg	(from https://demo.htmlcodex.com/709/resume-website-template/)
16:30:20	26738/26738	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Apr%202020%2016:01:04%20GMT	https://demo.htmlcodex.com/709/resume-website-template/img/about.jpg	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/img/about.jpg	(from https://demo.htmlcodex.com/709/resume-website-template/)
16:30:20	26750/26750	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Apr%202020%2016:01:06%20GMT	https://demo.htmlcodex.com/709/resume-website-template/img/portfolio-1.jpg	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/img/portfolio-1.jpg	(from https://demo.htmlcodex.com/709/resume-website-template/)
16:30:21	19024/19024	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Apr%202020%2016:01:08%20GMT	https://demo.htmlcodex.com/709/resume-website-template/img/portfolio-2.jpg	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/img/portfolio-2.jpg	(from https://demo.htmlcodex.com/709/resume-website-template/)
16:30:21	33737/33737	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Apr%202020%2016:01:10%20GMT	https://demo.htmlcodex.com/709/resume-website-template/img/portfolio-3.jpg	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/img/portfolio-3.jpg	(from https://demo.htmlcodex.com/709/resume-website-template/)
16:30:23	43379/43379	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Apr%202020%2016:01:12%20GMT	https://demo.htmlcodex.com/709/resume-website-template/img/portfolio-4.jpg	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/img/portfolio-4.jpg	(from https://demo.htmlcodex.com/709/resume-website-template/)
16:30:23	24671/24671	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Apr%202020%2016:01:14%20GMT	https://demo.htmlcodex.com/709/resume-website-template/img/portfolio-5.jpg	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/img/portfolio-5.jpg	(from https://demo.htmlcodex.com/709/resume-website-template/)
16:30:24	34894/34894	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Apr%202020%2016:01:14%20GMT	https://demo.htmlcodex.com/709/resume-website-template/img/portfolio-6.jpg	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/img/portfolio-6.jpg	(from https://demo.htmlcodex.com/709/resume-website-template/)
16:30:24	3255/3255	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Apr%202020%2016:01:18%20GMT	https://demo.htmlcodex.com/709/resume-website-template/img/review-1.jpg	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/img/review-1.jpg	(from https://demo.htmlcodex.com/709/resume-website-template/)
16:30:25	3735/3735	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Apr%202020%2016:01:18%20GMT	https://demo.htmlcodex.com/709/resume-website-template/img/review-2.jpg	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/img/review-2.jpg	(from https://demo.htmlcodex.com/709/resume-website-template/)
16:30:25	2547/2547	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Apr%202020%2016:01:18%20GMT	https://demo.htmlcodex.com/709/resume-website-template/img/review-3.jpg	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/img/review-3.jpg	(from https://demo.htmlcodex.com/709/resume-website-template/)
16:30:25	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261c86ae8-4d7%22	https://demo.htmlcodex.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://demo.htmlcodex.com/709/resume-website-template/)
16:30:27	80698/80698	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:09%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.4.1/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/cv/stackpath.bootstrapcdn.com/bootstrap/4.4.1/js/bootstrap.bundle.min.js	(from https://demo.htmlcodex.com/709/resume-website-template/)
16:30:27	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%22611feac9-15851%22	https://code.jquery.com/jquery-3.4.1.min.js	C:/My%20Web%20Sites/cv/code.jquery.com/jquery-3.4.1.min.js	(from https://demo.htmlcodex.com/709/resume-website-template/)
16:30:28	2303/2303	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2008%20Jan%202018%2023:14:10%20GMT	https://demo.htmlcodex.com/709/resume-website-template/lib/easing/easing.min.js	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/lib/easing/easing.min.js	(from https://demo.htmlcodex.com/709/resume-website-template/)
16:30:28	42863/42863	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2004%20Oct%202017%2004:49:30%20GMT	https://demo.htmlcodex.com/709/resume-website-template/lib/slick/slick.min.js	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/lib/slick/slick.min.js	(from https://demo.htmlcodex.com/709/resume-website-template/)
16:30:29	11749/11749	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2028%20Nov%202019%2005:09:00%20GMT	https://demo.htmlcodex.com/709/resume-website-template/lib/typed/typed.min.js	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/lib/typed/typed.min.js	(from https://demo.htmlcodex.com/709/resume-website-template/)
16:30:29	9028/9028	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2008%20Nov%202017%2020:59:46%20GMT	https://demo.htmlcodex.com/709/resume-website-template/lib/waypoints/waypoints.min.js	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/lib/waypoints/waypoints.min.js	(from https://demo.htmlcodex.com/709/resume-website-template/)
16:30:29	35503/35503	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2010%20Jan%202018%2016:58:56%20GMT	https://demo.htmlcodex.com/709/resume-website-template/lib/isotope/isotope.pkgd.min.js	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/lib/isotope/isotope.pkgd.min.js	(from https://demo.htmlcodex.com/709/resume-website-template/)
16:30:29	9418/9418	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2026%20Nov%202017%2020:18:24%20GMT	https://demo.htmlcodex.com/709/resume-website-template/lib/lightbox/js/lightbox.min.js	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/lib/lightbox/js/lightbox.min.js	(from https://demo.htmlcodex.com/709/resume-website-template/)
16:30:29	1362/1362	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2005%20Apr%202020%2003:28:04%20GMT	https://demo.htmlcodex.com/709/resume-website-template/js/main.js	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/js/main.js	(from https://demo.htmlcodex.com/709/resume-website-template/)
16:30:30	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261c86ae8-302c%22	https://demo.htmlcodex.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://demo.htmlcodex.com/709/resume-website-template/)
16:30:31	4178/4178	---M--	200	added ('OK')	image/gif	date:Wed,%2004%20Oct%202017%2004:49:30%20GMT	https://demo.htmlcodex.com/709/resume-website-template/lib/slick/ajax-loader.gif	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/lib/slick/ajax-loader.gif	(from https://demo.htmlcodex.com/709/resume-website-template/lib/slick/slick-theme.css)
16:30:32	2048/2048	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2004%20Oct%202017%2004:49:30%20GMT	https://demo.htmlcodex.com/709/resume-website-template/lib/slick/fonts/slick.eot	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/lib/slick/fonts/slick.eot	(from https://demo.htmlcodex.com/709/resume-website-template/lib/slick/slick-theme.css)
16:30:33	2048/2048	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2004%20Oct%202017%2004:49:30%20GMT	https://demo.htmlcodex.com/709/resume-website-template/lib/slick/fonts/slick.eot?	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/lib/slick/fonts/slickd41d.eot	(from https://demo.htmlcodex.com/709/resume-website-template/lib/slick/slick-theme.css)
16:30:34	1380/1380	---M--	200	added ('OK')	font/woff	date:Wed,%2004%20Oct%202017%2004:49:30%20GMT	https://demo.htmlcodex.com/709/resume-website-template/lib/slick/fonts/slick.woff	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/lib/slick/fonts/slick.woff	(from https://demo.htmlcodex.com/709/resume-website-template/lib/slick/slick-theme.css)
16:30:35	1892/1892	---MCZ	200	added ('OK')	font/ttf	date:Wed,%2004%20Oct%202017%2004:49:30%20GMT	https://demo.htmlcodex.com/709/resume-website-template/lib/slick/fonts/slick.ttf	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/lib/slick/fonts/slick.ttf	(from https://demo.htmlcodex.com/709/resume-website-template/lib/slick/slick-theme.css)
16:30:42	2152/2152	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2004%20Oct%202017%2004:49:30%20GMT	https://demo.htmlcodex.com/709/resume-website-template/lib/slick/fonts/slick.svg	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/lib/slick/fonts/slick.svg	(from https://demo.htmlcodex.com/709/resume-website-template/lib/slick/slick-theme.css)
16:30:43	8476/8476	---M--	200	added ('OK')	image/gif	date:Sun,%2026%20Nov%202017%2020:18:24%20GMT	https://demo.htmlcodex.com/709/resume-website-template/lib/lightbox/images/loading.gif	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/lib/lightbox/images/loading.gif	(from https://demo.htmlcodex.com/709/resume-website-template/lib/lightbox/css/lightbox.min.css)
16:30:43	46127/46127	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Apr%202020%2016:02:08%20GMT	https://demo.htmlcodex.com/709/resume-website-template/img/profile.png	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/img/profile.png	(from https://demo.htmlcodex.com/709/resume-website-template/css/style.css)
16:30:44	2625/2625	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Apr%202020%2016:02:10%20GMT	https://demo.htmlcodex.com/709/resume-website-template/img/quote.png	C:/My%20Web%20Sites/cv/demo.htmlcodex.com/709/resume-website-template/img/quote.png	(from https://demo.htmlcodex.com/709/resume-website-template/css/style.css)
